万州/五桥,"30°46.5′,108°37.0′","30°43.0′,108°35.4′","30°45.5′,108°30.0′","30°44.4′,108°25.0′","30°44.7′,108°23.8′","30°48.6′,108°20.8′","30°49.7′,108°15.1′","30°53.4′,108°16.6′","30°50.7′,108°21.8′","30°52.0′,108°26.8′","30°51.5′,108°28.2′","30°47.6′,108°31.2′"
德宏/芒市,"24°32.0′,098°37.5′","24°29.2′,098°40.7′","24°26.3′,098°36.0′","24°21.7′,098°35.4′","24°21.1′,098°34.5′","24°20.3′,098°29.5′","24°16.0′,098°26.2′","24°18.8′,098°23.3′","24°22.0′,098°27.8′","24°26.3′,098°28.4′","24°27.3′,098°29.5′","24°28.0′,098°34.3′"
忻州/五台山,"38°40.6′,113°08.6′","38°37.0′,113°10.3′","38°36.1′,113°03.9′","38°32.4′,113°00.6′","38°32.1′,112°58.9′","38°33.4′,112°53.3′","38°31.1′,112°47.6′","38°34.6′,112°46.1′","38°35.4′,112°52.3′","38°39.3′,112°55.6′","38°39.6′,112°57.3′","38°38.4′,113°02.8′"
怀化/芷江,"27°35.4′,109°47.1′","27°33.2′,109°50.6′","27°29.6′,109°46.5′","27°25.1′,109°46.4′","27°24.0′,109°45.3′","27°22.5′,109°40.5′","27°18.0′,109°37.8′","27°20.5′,109°34.3′","27°24.1′,109°38.5′","27°28.6′,109°38.6′","27°29.7′,109°39.4′","27°31.1′,109°44.2′"
恩施/许家坪,"30°29.0′,109°28.5′","30°28.2′,109°33.0′","30°23.3′,109°31.2′","30°19.3′,109°33.5′","30°18.1′,109°33.3′","30°14.9′,109°29.8′","30°09.6′,109°29.6′","30°10.2′,109°25.1′","30°15.1′,109°27.1′","30°19.1′,109°24.7′","30°20.5′,109°24.8′","30°23.7′,109°28.6′"
成都/双流,"30°41.9′,103°58.6′","30°40.4′,104°03.0′","30°35.8′,103°59.8′","30°31.5′,104°01.2′","30°29.8′,104°00.2′","30°27.3′,103°56.0′","30°22.4′,103°54.6′","30°23.7′,103°50.4′","30°28.2′,103°53.4′","30°32.5′,103°52.0′","30°34.5′,103°53.0′","30°36.7′,103°57.4′"
扎兰屯/成吉思汗,"47°42.3′,122°46.2′","47°43.2′,122°40.5′","47°48.1′,122°43.0′","47°52.1′,122°40.4′","47°53.3′,122°40.6′","47°56.5′,122°45.6′","48°01.5′,122°45.8′","48°00.9′,122°51.7′","47°56.1′,122°49.0′","47°52.0′,122°51.9′","47°50.5′,122°51.4′","47°47.6′,122°46.7′"
扬州/泰州,"32°25.1′,119°48.1′","32°24.2′,119°43.5′","32°29.3′,119°43.1′","32°32.4′,119°39.1′","32°34.1′,119°38.6′","32°38.2′,119°40.6′","32°42.8′,119°38.2′","32°43.7′,119°42.9′","32°38.6′,119°43.4′","32°35.8′,119°47.4′","32°34.1′,119°47.7′","32°30.0′,119°45.8′"
抚远/东极,"48°19.2′,134°30.9′","48°16.3′,134°34.5′","48°13.6′,134°28.1′","48°09.2′,134°26.3′","48°08.5′,134°24.6′","48°08.1′,134°18.0′","48°04.3′,134°12.9′","48°07.5′,134°09.0′","48°10.1′,134°15.7′","48°14.3′,134°17.3′","48°15.2′,134°19.0′","48°15.6′,134°25.8′"
揭阳/潮汕,"23°41.6′,116°35.1′","23°39.2′,116°38.4′","23°35.6′,116°34.2′","23°31.3′,116°34.0′","23°30.0′,116°32.8′","23°29.1′,116°28.1′","23°24.5′,116°25.3′","23°27.2′,116°22.0′","23°30.6′,116°26.2′","23°35.1′,116°26.4′","23°36.1′,116°27.5′","23°37.2′,116°32.2′"
攀枝花/保安营,"26°42.1′,101°49.6′","26°40.6′,101°53.7′","26°36.0′,101°51.0′","26°31.8′,101°52.1′","26°30.2′,101°51.5′","26°27.8′,101°47.3′","26°22.8′,101°46.0′","26°24.2′,101°42.1′","26°28.7′,101°44.8′","26°33.0′,101°43.7′","26°34.6′,101°44.3′","26°37.0′,101°48.5′"
敦煌,"40°12.7′,095°00.6′","40°08.6′,095°01.1′","40°09.0′,094°54.4′","40°06.1′,094°50.1′","40°05.9′,094°48.1′","40°08.1′,094°43.1′","40°06.7′,094°36.4′","40°10.6′,094°36.0′","40°10.5′,094°42.7′","40°13.3′,094°47.1′","40°13.5′,094°49.0′","40°11.4′,094°54.1′"
新源/那拉提,"43°28.6′,083°35.2′","43°24.5′,083°35.6′","43°25.1′,083°28.5′","43°22.2′,083°23.8′","43°22.0′,083°22.1′","43°24.5′,083°17.0′","43°23.2′,083°10.1′","43°27.3′,083°09.7′","43°26.7′,083°16.8′","43°29.6′,083°21.5′","43°29.7′,083°23.2′","43°27.5′,083°28.3′"
日照/山字河,"35°20.5′,119°30.6′","35°17.2′,119°28.1′","35°20.7′,119°23.3′","35°20.5′,119°18.0′","35°21.6′,119°16.2′","35°25.8′,119°14.3′","35°27.8′,119°08.4′","35°31.1′,119°11.2′","35°27.8′,119°15.9′","35°28.0′,119°21.2′","35°27.1′,119°23.0′","35°22.7′,119°25.1′"
昆明/长水,"25°15.8′,103°00.7′","25°13.4′,103°04.1′","25°10.0′,103°00.1′","25°05.4′,102°59.9′","25°04.1′,102°58.6′","25°02.7′,102°53.7′","24°58.2′,102°51.1′","25°00.7′,102°47.5′","25°04.2′,102°51.8′","25°08.8′,102°52.0′","25°10.3′,102°53.1′","25°11.5′,102°58.0′"
普洱/思茅,"22°38.5′,101°00.5′","22°38.0′,100°56.3′","22°43.3′,100°56.6′","22°46.5′,100°53.6′","22°48.0′,100°53.3′","22°51.9′,100°55.9′","22°56.9′,100°54.6′","22°57.1′,100°58.7′","22°52.1′,100°58.5′","22°48.6′,101°01.5′","22°47.2′,101°01.8′","22°43.5′,100°59.2′"
景德镇/罗家,"29°28.8′,117°15.9′","29°26.4′,117°19.2′","29°23.1′,117°14.8′","29°18.4′,117°14.4′","29°17.3′,117°13.3′","29°16.2′,117°08.5′","29°11.8′,117°05.3′","29°14.5′,117°02.1′","29°17.9′,117°06.4′","29°22.2′,117°06.6′","29°23.5′,117°07.7′","29°24.6′,117°12.7′"
朝阳,"41°41.0′,120°20.5′","41°42.1′,120°25.6′","41°37.0′,120°26.3′","41°34.1′,120°30.8′","41°32.6′,120°31.1′","41°28.4′,120°28.8′","41°23.7′,120°31.5′","41°22.9′,120°26.6′","41°28.1′,120°25.7′","41°30.9′,120°21.4′","41°32.1′,120°20.8′","41°36.4′,120°23.1′"
杭州/萧山,"30°20.0′,120°35.1′","30°16.5′,120°37.0′","30°14.7′,120°31.5′","30°10.7′,120°29.0′","30°10.0′,120°27.0′","30°10.7′,120°22.1′","30°07.7′,120°17.1′","30°11.2′,120°15.0′","30°12.7′,120°20.8′","30°16.8′,120°23.0′","30°17.7′,120°25.0′","30°17.0′,120°30.1′"
果洛/玛沁,"34°21.7′,100°29.4′","34°18.5′,100°26.8′","34°21.6′,100°22.0′","34°21.4′,100°16.8′","34°22.3′,100°14.7′","34°26.4′,100°12.4′","34°28.4′,100°06.8′","34°31.9′,100°09.1′","34°28.5′,100°14.1′","34°29.0′,100°19.3′","34°27.8′,100°21.4′","34°23.7′,100°23.5′"
柳州/白莲,"24°04.8′,109°29.8′","24°03.2′,109°26.0′","24°08.1′,109°24.4′","24°10.3′,109°20.1′","24°11.6′,109°19.3′","24°16.0′,109°20.2′","24°20.3′,109°17.2′","24°21.9′,109°21.1′","24°17.0′,109°22.6′","24°14.8′,109°27.1′","24°13.5′,109°27.5′","24°09.1′,109°26.6′"
桂林/两江,"25°23.0′,110°01.2′","25°22.5′,110°05.4′","25°17.5′,110°04.2′","25°13.8′,110°06.6′","25°12.1′,110°06.4′","25°08.7′,110°03.2′","25°03.4′,110°03.7′","25°03.9′,109°59.4′","25°08.9′,110°00.7′","25°12.6′,109°58.0′","25°14.3′,109°58.2′","25°17.7′,110°01.4′"
梅县/长岗岌,"24°24.0′,116°11.2′","24°21.4′,116°14.4′","24°18.1′,116°10.1′","24°13.8′,116°09.4′","24°12.7′,116°08.6′","24°11.9′,116°03.8′","24°07.6′,116°00.7′","24°10.1′,115°57.5′","24°13.5′,116°01.7′","24°17.8′,116°02.2′","24°18.8′,116°03.3′","24°19.7′,116°08.1′"
梧州,"23°18.1′,111°17.0′","23°18.1′,111°12.9′","23°23.3′,111°13.7′","23°26.8′,111°10.8′","23°28.0′,111°10.8′","23°31.5′,111°13.5′","23°36.7′,111°12.9′","23°36.7′,111°17.0′","23°31.5′,111°16.1′","23°28.0′,111°19.1′","23°26.8′,111°19.1′","23°23.3′,111°16.1′"
榆林/榆阳,"38°13.9′,109°43.8′","38°11.5′,109°37.1′","38°17.1′,109°36.0′","38°19.3′,109°31.4′","38°20.5′,109°30.8′","38°25.0′,109°31.6′","38°29.2′,109°27.2′","38°31.4′,109°34.1′","38°26.0′,109°36.1′","38°23.7′,109°39.7′","38°22.2′,109°40.5′","38°18.1′,109°39.4′"
武汉/天河,"30°55.5′,114°18.1′","30°53.1′,114°21.5′","30°49.7′,114°17.1′","30°45.1′,114°16.6′","30°43.9′,114°15.2′","30°42.9′,114°10.0′","30°38.4′,114°06.9′","30°41.0′,114°03.3′","30°44.5′,114°08.1′","30°48.8′,114°08.4′","30°50.2′,114°09.8′","30°51.3′,114°15.0′"
永州/零陵,"26°29.7′,111°33.3′","26°30.3′,111°37.6′","26°25.0′,111°37.4′","26°21.7′,111°40.6′","26°20.1′,111°41.0′","26°16.1′,111°38.5′","26°11.1′,111°39.8′","26°10.7′,111°35.6′","26°16.0′,111°35.7′","26°19.3′,111°32.4′","26°21.1′,111°32.2′","26°24.9′,111°34.6′"
汉中/城固,"33°13.0′,107°22.0′","33°09.3′,107°23.7′","33°08.2′,107°17.5′","33°04.7′,107°14.6′","33°04.1′,107°13.1′","33°05.6′,107°07.8′","33°03.2′,107°02.4′","33°06.8′,107°01.1′","33°07.7′,107°07.1′","33°11.5′,107°10.0′","33°11.8′,107°11.5′","33°10.5′,107°16.6′"
池州/九华山,"30°40.4′,117°51.2′","30°37.4′,117°48.6′","30°41.0′,117°44.4′","30°41.0′,117°39.3′","30°41.9′,117°37.9′","30°46.2′,117°36.2′","30°48.5′,117°31.1′","30°51.5′,117°33.5′","30°48.1′,117°37.8′","30°48.1′,117°43.0′","30°47.0′,117°44.4′","30°42.7′,117°46.0′"
沈阳/桃仙,"41°46.1′,123°36.8′","41°43.2′,123°40.4′","41°40.4′,123°34.5′","41°36.0′,123°33.3′","41°34.9′,123°31.2′","41°34.3′,123°25.3′","41°30.5′,123°21.1′","41°33.3′,123°17.6′","41°36.1′,123°23.2′","41°40.5′,123°24.5′","41°41.9′,123°26.6′","41°42.2′,123°32.5′"
河池/金城江,"24°42.8′,107°51.0′","24°40.0′,107°48.0′","24°44.3′,107°44.7′","24°45.2′,107°40.1′","24°46.1′,107°39.0′","24°50.7′,107°38.6′","24°53.8′,107°34.1′","24°56.6′,107°37.3′","24°52.3′,107°40.6′","24°51.4′,107°45.4′","24°50.5′,107°46.1′","24°46.1′,107°46.8′"
泉州/晋江,"24°57.1′,118°38.8′","24°55.1′,118°42.4′","24°51.1′,118°39.0′","24°46.6′,118°39.3′","24°45.2′,118°38.5′","24°43.4′,118°34.0′","24°38.6′,118°32.1′","24°40.6′,118°28.2′","24°44.6′,118°31.9′","24°49.2′,118°31.4′","24°50.5′,118°32.1′","24°52.1′,118°36.7′"
洛阳,"34°48.6′,112°33.8′","34°44.9′,112°34.8′","34°44.3′,112°28.6′","34°41.0′,112°25.1′","34°40.5′,112°23.5′","34°42.2′,112°18.5′","34°40.2′,112°12.8′","34°44.2′,112°11.6′","34°44.5′,112°17.8′","34°48.1′,112°21.3′","34°48.3′,112°23.1′","34°46.6′,112°28.1′"
济南/遥墙,"36°41.7′,117°15.3′","36°41.7′,117°10.6′","36°46.9′,117°11.4′","36°50.4′,117°08.3′","36°52.5′,117°08.3′","36°56.1′,117°11.4′","37°01.2′,117°10.6′","37°01.2′,117°15.5′","36°56.1′,117°14.4′","36°52.5′,117°17.8′","36°50.4′,117°17.8′","36°46.9′,117°14.4′"
济宁/曲阜,"35°21.3′,116°31.8′","35°17.4′,116°32.5′","35°17.1′,116°26.4′","35°14.1′,116°22.5′","35°13.6′,116°20.8′","35°15.5′,116°15.7′","35°14.0′,116°09.8′","35°17.7′,116°09.1′","35°18.1′,116°15.2′","35°21.3′,116°19.0′","35°21.4′,116°20.8′","35°19.5′,116°25.7′"
海口/美兰,"19°58.0′,110°37.9′","19°54.2′,110°37.9′","19°55.0′,110°32.5′","19°52.2′,110°28.5′","19°52.2′,110°26.6′","19°54.8′,110°22.6′","19°54.0′,110°17.2′","19°58.1′,110°17.2′","19°57.2′,110°22.6′","19°60.0′,110°26.4′","19°60.0′,110°28.5′","19°57.4′,110°32.5′"
海西/德令哈,"37°12.4′,097°26.6′","37°08.5′,097°28.3′","37°07.8′,097°21.8′","37°04.2′,097°18.5′","37°03.7′,097°16.7′","37°05.1′,097°11.4′","37°02.6′,097°05.5′","37°06.5′,097°04.1′","37°07.2′,097°10.3′","37°10.8′,097°13.6′","37°11.3′,097°15.7′","37°10.1′,097°21.0′"
海西/花土沟,"38°05.1′,090°59.3′","38°02.9′,090°55.3′","38°07.4′,090°52.5′","38°09.1′,090°47.2′","38°10.7′,090°45.8′","38°15.0′,090°46.0′","38°18.8′,090°41.4′","38°21.0′,090°45.7′","38°16.5′,090°48.5′","38°14.8′,090°53.7′","38°13.2′,090°55.2′","38°08.7′,090°55.1′"
淮安/涟水,"33°56.3′,119°12.4′","33°54.0′,119°16.2′","33°50.3′,119°11.9′","33°46.0′,119°11.9′","33°44.6′,119°10.7′","33°43.2′,119°05.6′","33°38.6′,119°02.9′","33°41.1′,118°59.1′","33°44.6′,119°03.4′","33°49.1′,119°03.4′","33°50.3′,119°04.3′","33°51.7′,119°09.4′"
深圳/宝安,"22°30.6′,113°54.2′","22°28.7′,113°50.4′","22°33.6′,113°48.8′","22°35.6′,113°44.5′","22°37.6′,113°43.5′","22°42.1′,113°44.1′","22°46.1′,113°41.0′","22°48.1′,113°44.8′","22°43.0′,113°46.4′","22°41.1′,113°50.7′","22°39.1′,113°51.7′","22°34.8′,113°51.1′"
温州/龙湾,"28°04.0′,120°54.2′","28°02.1′,120°58.1′","27°58.0′,120°54.8′","27°53.4′,120°55.3′","27°52.0′,120°54.4′","27°50.1′,120°50.0′","27°45.2′,120°48.1′","27°47.1′,120°44.0′","27°51.2′,120°47.6′","27°55.5′,120°46.8′","27°57.0′,120°47.9′","27°59.0′,120°52.4′"
湛江,"21°21.5′,110°16.6′","21°22.6′,110°20.8′","21°17.5′,110°21.5′","21°14.7′,110°25.1′","21°13.4′,110°25.5′","21°09.2′,110°24.1′","21°04.5′,110°26.3′","21°03.3′,110°22.1′","21°08.4′,110°21.4′","21°11.3′,110°17.8′","21°12.6′,110°17.4′","21°16.7′,110°19.0′"
满洲里/西郊,"49°33.0′,117°34.5′","49°29.4′,117°32.8′","49°31.5′,117°25.7′","49°30.2′,117°19.2′","49°30.5′,117°17.0′","49°34.1′,117°12.7′","49°35.0′,117°05.1′","49°38.6′,117°06.7′","49°36.4′,117°13.8′","49°37.8′,117°20.5′","49°37.5′,117°22.7′","49°33.8′,117°26.8′"
漠河/古莲,"52°49.7′,122°38.4′","52°47.1′,122°33.8′","52°51.2′,122°28.8′","52°51.8′,122°21.5′","52°52.8′,122°20.2′","52°57.2′,122°19.1′","53°00.1′,122°12.2′","53°03.1′,122°16.8′","52°58.9′,122°21.7′","52°58.0′,122°29.0′","52°57.3′,122°30.6′","52°52.9′,122°31.6′"
潍坊,"36°30.4′,119°12.8′","36°29.3′,119°08.1′","36°34.4′,119°07.1′","36°37.0′,119°02.9′","36°38.5′,119°02.4′","36°42.7′,119°04.1′","36°47.4′,119°01.6′","36°48.5′,119°06.1′","36°43.4′,119°07.0′","36°40.5′,119°11.5′","36°39.1′,119°12.0′","36°35.1′,119°10.0′"
澜沧/景迈,"22°22.0′,099°57.0′","22°18.6′,099°54.9′","22°21.8′,099°50.4′","22°21.3′,099°45.6′","22°22.0′,099°44.3′","22°26.1′,099°42.3′","22°28.1′,099°37.1′","22°31.4′,099°39.4′","22°28.2′,099°43.6′","22°28.8′,099°48.4′","22°28.1′,099°49.7′","22°24.1′,099°51.7′"
烟台/蓬莱,"37°48.0′,121°05.0′","37°45.5′,121°08.8′","37°42.1′,121°03.6′","37°37.6′,121°03.0′","37°36.3′,121°01.4′","37°35.5′,120°56.1′","37°31.2′,120°52.5′","37°33.7′,120°48.8′","37°37.1′,120°53.7′","37°41.4′,120°54.3′","37°42.8′,120°56.0′","37°43.7′,121°01.5′"
牡丹江/海浪,"44°40.9′,129°37.5′","44°39.0′,129°42.5′","44°34.9′,129°38.4′","44°30.5′,129°39.3′","44°29.1′,129°38.6′","44°27.0′,129°33.1′","44°22.1′,129°30.8′","44°23.8′,129°26.0′","44°28.2′,129°30.1′","44°32.6′,129°29.0′","44°33.7′,129°29.7′","44°36.0′,129°35.2′"
玉树/巴塘,"32°50.0′,097°14.1′","32°46.0′,097°13.0′","32°48.1′,097°07.3′","32°46.3′,097°02.3′","32°46.6′,096°60.1′","32°50.0′,096°56.4′","32°50.4′,096°50.5′","32°54.2′,096°51.4′","32°52.5′,096°57.2′","32°54.2′,097°02.1′","32°53.6′,097°04.3′","32°50.4′,097°07.8′"
珠海/金湾,"22°08.7′,113°28.6′","22°06.1′,113°31.5′","22°03.0′,113°27.0′","21°58.4′,113°26.3′","21°57.0′,113°24.8′","21°56.1′,113°20.1′","21°52.1′,113°16.6′","21°54.9′,113°13.6′","21°58.0′,113°18.0′","22°02.4′,113°18.8′","22°03.8′,113°20.6′","22°04.7′,113°25.2′"
琼海/博鳌,"19°01.2′,110°34.1′","18°59.1′,110°30.3′","19°04.1′,110°28.5′","19°05.9′,110°24.2′","19°07.4′,110°23.3′","19°11.7′,110°23.8′","19°15.8′,110°20.4′","19°17.9′,110°24.1′","19°13.1′,110°26.0′","19°11.1′,110°30.3′","19°09.7′,110°31.2′","19°05.1′,110°30.7′"
甘南/夏河,"34°48.9′,102°49.1′","34°45.1′,102°48.0′","34°47.0′,102°42.4′","34°45.3′,102°37.1′","34°45.7′,102°35.1′","34°49.1′,102°31.7′","34°49.5′,102°25.5′","34°53.2′,102°26.6′","34°51.3′,102°32.4′","34°53.1′,102°37.4′","34°52.6′,102°39.5′","34°49.2′,102°43.1′"
白城/长安,"45°37.0′,123°10.8′","45°33.7′,123°13.8′","45°31.6′,123°07.2′","45°27.4′,123°05.1′","45°26.7′,123°03.3′","45°27.1′,122°57.1′","45°23.5′,122°51.5′","45°26.9′,122°48.6′","45°29.1′,122°55.2′","45°33.1′,122°57.5′","45°33.8′,122°59.1′","45°33.6′,123°05.3′"
白山/长白山,"42°13.5′,127°34.7′","42°13.3′,127°39.8′","42°08.3′,127°38.2′","42°04.3′,127°41.4′","42°03.1′,127°41.1′","41°59.5′,127°37.3′","41°54.4′,127°37.7′","41°54.9′,127°32.5′","41°59.9′,127°34.1′","42°03.6′,127°31.1′","42°05.0′,127°31.2′","42°08.5′,127°35.1′"
百色/巴马,"23°39.6′,107°07.1′","23°36.2′,107°04.9′","23°39.7′,107°00.6′","23°39.6′,106°55.9′","23°40.5′,106°54.5′","23°44.7′,106°53.0′","23°46.8′,106°47.8′","23°50.2′,106°50.2′","23°46.7′,106°54.5′","23°46.7′,106°59.2′","23°46.1′,107°00.6′","23°41.7′,107°02.1′"
石家庄/正定,"38°09.7′,114°50.4′","38°07.6′,114°46.2′","38°12.3′,114°43.5′","38°14.1′,114°38.4′","38°15.5′,114°37.0′","38°20.1′,114°37.5′","38°24.0′,114°33.2′","38°26.1′,114°37.4′","38°21.4′,114°40.1′","38°19.6′,114°45.2′","38°18.2′,114°46.6′","38°13.6′,114°46.1′"
石河子/花园,"44°16.0′,086°06.7′","44°12.1′,086°06.2′","44°13.0′,085°59.2′","44°10.6′,085°54.1′","44°10.7′,085°52.3′","44°13.5′,085°47.5′","44°13.0′,085°40.2′","44°17.1′,085°40.5′","44°16.1′,085°47.5′","44°18.3′,085°52.8′","44°18.2′,085°54.6′","44°15.4′,085°59.4′"
神农架/红坪,"31°46.2′,110°15.3′","31°47.2′,110°19.8′","31°42.2′,110°20.4′","31°39.2′,110°24.6′","31°37.7′,110°25.1′","31°33.7′,110°23.1′","31°28.8′,110°25.3′","31°28.0′,110°21.0′","31°33.1′,110°20.2′","31°35.8′,110°16.2′","31°37.3′,110°15.8′","31°41.6′,110°17.7′"
福州/长乐,"26°05.7′,119°42.8′","26°03.8′,119°46.7′","25°59.6′,119°43.4′","25°55.3′,119°44.0′","25°53.4′,119°43.0′","25°51.5′,119°38.6′","25°46.5′,119°36.8′","25°48.4′,119°33.1′","25°52.6′,119°36.4′","25°57.1′,119°35.5′","25°58.6′,119°36.6′","26°00.7′,119°41.0′"
秦皇岛/北戴河,"39°44.6′,119°14.6′","39°40.7′,119°16.0′","39°40.0′,119°09.6′","39°36.6′,119°06.1′","39°36.2′,119°04.3′","39°37.5′,118°58.7′","39°35.5′,118°52.8′","39°39.1′,118°51.2′","39°40.0′,118°57.8′","39°43.4′,119°01.5′","39°43.8′,119°03.1′","39°42.3′,119°08.7′"
稻城/亚丁,"29°10.2′,100°09.1′","29°09.1′,100°04.6′","29°14.2′,100°03.8′","29°16.9′,099°59.9′","29°19.1′,099°59.0′","29°23.3′,100°00.7′","29°28.0′,099°58.2′","29°29.1′,100°02.5′","29°24.0′,100°03.5′","29°21.1′,100°07.5′","29°19.1′,100°08.1′","29°14.7′,100°06.4′"
腾冲/驼峰,"24°47.0′,098°31.2′","24°47.0′,098°27.1′","24°52.1′,098°27.7′","24°55.7′,098°25.0′","24°57.4′,098°25.0′","25°01.0′,098°27.7′","25°06.1′,098°27.1′","25°06.1′,098°31.2′","25°01.1′,098°30.4′","24°57.4′,098°33.4′","24°55.5′,098°33.4′","24°52.1′,098°30.4′"
营口/兰旗,"40°41.8′,122°25.3′","40°39.9′,122°29.7′","40°35.8′,122°25.7′","40°31.2′,122°26.4′","40°30.0′,122°25.4′","40°28.3′,122°20.1′","40°23.3′,122°17.9′","40°25.2′,122°13.4′","40°29.3′,122°17.5′","40°33.9′,122°16.8′","40°35.1′,122°17.5′","40°36.8′,122°22.8′"
衡阳/南岳,"26°51.8′,112°42.0′","26°49.3′,112°45.4′","26°46.0′,112°41.0′","26°41.5′,112°40.9′","26°40.3′,112°39.9′","26°39.1′,112°35.1′","26°34.8′,112°32.0′","26°37.3′,112°28.8′","26°40.6′,112°33.0′","26°45.1′,112°33.1′","26°46.2′,112°34.1′","26°47.5′,112°39.1′"
衢州,"29°05.0′,119°01.3′","29°01.8′,119°04.1′","28°59.6′,118°58.7′","28°55.2′,118°57.1′","28°54.4′,118°55.9′","28°54.4′,118°50.7′","28°51.0′,118°46.5′","28°54.0′,118°44.0′","28°56.4′,118°49.1′","29°00.8′,118°50.7′","29°01.6′,118°52.0′","29°01.6′,118°57.1′"
襄阳/刘集,"32°18.5′,112°17.0′","32°18.0′,112°21.7′","32°13.1′,112°19.8′","32°09.1′,112°22.1′","32°07.8′,112°21.7′","32°04.7′,112°18.1′","31°59.4′,112°17.9′","32°00.2′,112°13.2′","32°05.1′,112°15.1′","32°09.0′,112°12.8′","32°10.4′,112°13.1′","32°13.4′,112°17.0′"
西双版纳/嘎洒,"21°50.2′,100°51.0′","21°49.1′,100°47.0′","21°54.1′,100°46.1′","21°56.5′,100°42.0′","21°57.9′,100°41.7′","22°02.2′,100°43.1′","22°06.6′,100°40.5′","22°08.1′,100°44.5′","22°03.0′,100°45.5′","22°00.3′,100°49.3′","21°59.0′,100°49.8′","21°54.9′,100°48.4′"
西宁/曹家堡,"36°30.6′,102°14.5′","36°26.7′,102°13.1′","36°29.1′,102°07.4′","36°27.8′,102°02.1′","36°28.6′,101°59.7′","36°32.1′,101°56.5′","36°33.2′,101°50.1′","36°36.8′,101°51.8′","36°34.4′,101°57.5′","36°35.7′,102°02.6′","36°35.0′,102°05.2′","36°31.5′,102°08.2′"
西安/咸阳,"34°34.5′,108°52.2′","34°31.5′,108°55.3′","34°28.9′,108°50.2′","34°24.4′,108°49.0′","34°23.5′,108°47.5′","34°23.1′,108°42.0′","34°19.0′,108°38.1′","34°22.1′,108°35.0′","34°24.9′,108°40.2′","34°29.1′,108°41.3′","34°30.3′,108°42.9′","34°30.6′,108°48.3′"
西昌/青山,"28°09.1′,102°08.4′","28°09.2′,102°12.8′","28°04.1′,102°12.3′","28°00.5′,102°15.4′","27°58.4′,102°15.3′","27°54.7′,102°12.5′","27°49.6′,102°13.7′","27°49.5′,102°09.3′","27°54.6′,102°09.8′","27°58.3′,102°06.7′","28°00.1′,102°06.6′","28°04.0′,102°09.6′"
贵阳/龙洞堡,"26°22.5′,106°48.4′","26°23.3′,106°44.1′","26°28.0′,106°46.0′","26°32.2′,106°43.8′","26°33.9′,106°44.1′","26°37.0′,106°47.6′","26°42.1′,106°47.8′","26°41.3′,106°52.1′","26°36.6′,106°50.3′","26°32.4′,106°52.5′","26°30.7′,106°52.0′","26°27.6′,106°48.4′"
赣州/黄金,"25°57.3′,114°55.1′","25°53.8′,114°57.1′","25°52.0′,114°51.5′","25°48.2′,114°49.4′","25°47.4′,114°48.0′","25°48.1′,114°43.0′","25°45.1′,114°38.5′","25°48.6′,114°36.5′","25°50.4′,114°41.9′","25°54.4′,114°44.0′","25°55.0′,114°45.4′","25°54.2′,114°50.3′"
赤峰/玉龙,"42°00.2′,118°48.1′","42°01.6′,118°43.1′","42°06.0′,118°46.8′","42°10.3′,118°45.4′","42°11.6′,118°46.1′","42°14.1′,118°51.2′","42°19.1′,118°52.9′","42°17.4′,118°57.6′","42°13.0′,118°54.2′","42°08.8′,118°55.6′","42°07.4′,118°54.9′","42°05.2′,118°49.6′"
达州/河市,"30°58.5′,107°24.5′","30°59.7′,107°20.3′","31°04.3′,107°22.8′","31°08.6′,107°21.4′","31°09.6′,107°21.8′","31°12.1′,107°26.0′","31°17.3′,107°27.0′","31°16.1′,107°31.2′","31°11.3′,107°28.5′","31°07.2′,107°30.1′","31°06.2′,107°29.7′","31°03.4′,107°25.5′"
连云港/白塔埠,"34°43.5′,118°55.6′","34°41.7′,118°59.7′","34°37.7′,118°56.2′","34°33.1′,118°57.0′","34°32.0′,118°56.2′","34°30.0′,118°51.4′","34°25.0′,118°49.3′","34°26.8′,118°45.2′","34°31.1′,118°48.8′","34°35.5′,118°48.0′","34°36.6′,118°48.6′","34°38.8′,118°53.6′"
通化/三源浦,"42°11.6′,125°49.4′","42°09.2′,125°53.6′","42°05.6′,125°48.8′","42°01.0′,125°48.5′","42°00.0′,125°47.5′","41°58.7′,125°41.8′","41°54.3′,125°38.5′","41°56.5′,125°34.3′","42°00.3′,125°39.2′","42°04.6′,125°39.5′","42°05.7′,125°40.5′","42°07.1′,125°46.1′"
郑州/新郑,"34°30.1′,114°03.2′","34°26.5′,114°01.4′","34°29.1′,113°56.2′","34°28.0′,113°50.8′","34°28.9′,113°48.6′","34°32.7′,113°45.9′","34°33.9′,113°39.7′","34°37.4′,113°41.6′","34°34.8′,113°47.0′","34°36.0′,113°52.1′","34°35.1′,113°54.4′","34°31.5′,113°57.3′"
郑州/新郑,"34°29.3′,114°02.1′","34°25.8′,114°00.3′","34°28.4′,113°55.1′","34°27.2′,113°49.7′","34°28.1′,113°47.8′","34°31.7′,113°44.9′","34°33.0′,113°38.7′","34°36.5′,113°40.5′","34°34.1′,113°46.0′","34°35.0′,113°51.1′","34°34.3′,113°53.3′","34°30.5′,113°56.0′"
